period,respondent,respondent-name,type-name,value,value-units
2024-05-12T19,SOCO,"Southern Company Services, Inc. - Trans",Demand,24501,megawatthours
2024-05-12T20,SOCO,"Southern Company Services, Inc. - Trans",Demand,25563,megawatthours
2024-05-12T21,SOCO,"Southern Company Services, Inc. - Trans",Demand,26499,megawatthours
2024-05-12T22,SOCO,"Southern Company Services, Inc. - Trans",Demand,26979,megawatthours
2024-05-12T23,SOCO,"Southern Company Services, Inc. - Trans",Demand,26767,megawatthours
2024-05-13T00,SOCO,"Southern Company Services, Inc. - Trans",Demand,26083,megawatthours
2024-05-13T01,SOCO,"Southern Company Services, Inc. - Trans",Demand,25776,megawatthours
2024-05-13T02,SOCO,"Southern Company Services, Inc. - Trans",Demand,25377,megawatthours
2024-05-13T03,SOCO,"Southern Company Services, Inc. - Trans",Demand,23921,megawatthours
2024-05-13T04,SOCO,"Southern Company Services, Inc. - Trans",Demand,22154,megawatthours
2024-05-13T05,SOCO,"Southern Company Services, Inc. - Trans",Demand,20981,megawatthours
2024-05-13T06,SOCO,"Southern Company Services, Inc. - Trans",Demand,20226,megawatthours
2024-05-13T07,SOCO,"Southern Company Services, Inc. - Trans",Demand,19600,megawatthours
2024-05-13T08,SOCO,"Southern Company Services, Inc. - Trans",Demand,19404,megawatthours
2024-05-13T09,SOCO,"Southern Company Services, Inc. - Trans",Demand,19453,megawatthours
2024-05-13T10,SOCO,"Southern Company Services, Inc. - Trans",Demand,19987,megawatthours
2024-05-13T11,SOCO,"Southern Company Services, Inc. - Trans",Demand,21292,megawatthours
2024-05-13T12,SOCO,"Southern Company Services, Inc. - Trans",Demand,22452,megawatthours
2024-05-13T13,SOCO,"Southern Company Services, Inc. - Trans",Demand,23225,megawatthours
2024-05-13T14,SOCO,"Southern Company Services, Inc. - Trans",Demand,23888,megawatthours
2024-05-13T15,SOCO,"Southern Company Services, Inc. - Trans",Demand,24072,megawatthours
2024-05-13T16,SOCO,"Southern Company Services, Inc. - Trans",Demand,24317,megawatthours
2024-05-13T17,SOCO,"Southern Company Services, Inc. - Trans",Demand,24514,megawatthours
2024-05-13T18,SOCO,"Southern Company Services, Inc. - Trans",Demand,24558,megawatthours
